DEPTH,CMRP_3MS,CMFF,BVI
4481,0.33923,0.08104,0.25819
4481.5,0.32766,0.09139,0.23627
4482,0.31347,0.0923,0.22117
4482.5,0.308485,0.08762,0.220865
4483,0.3035,0.08294,0.22056
4483.5,0.29868,0.06796,0.23072
4484,0.29986,0.05742,0.24244
4484.5,0.30001,0.04492,0.25509
4485,0.29225,0.02837,0.26388
4485.5,0.284205,0.024665,0.259535
4486,0.27616,0.02096,0.25519
4486.5,0.25431,0.01736,0.23695
4487,0.23265,0.01465,0.21801
4487.5,0.215,0.01371,0.20129
4488,0.19797,0.0113,0.18667
4488.5,0.19113,0.010905,0.180225
4489,0.18429,0.01051,0.17378
4489.5,0.17775,0.01162,0.16613
4490,0.17239,0.01239,0.16
4490.5,0.16652,0.01194,0.15458
4491,0.16184,0.01081,0.15103
4491.5,0.16123,0.010335,0.150895
4492,0.16062,0.00986,0.15076
4492.5,0.15922,0.00977,0.14945
4493,0.157385,0.01005,0.14734
4493.5,0.15555,0.01033,0.14523
4494,0.15321,0.01145,0.14176
4494.5,0.15048,0.01319,0.13729
4495,0.1509,0.01352,0.13738
4495.5,0.15132,0.01385,0.13747
4496,0.15814,0.0128,0.14534
4496.5,0.16088,0.01185,0.14903
4497,0.15876,0.01142,0.14734
4497.5,0.15846,0.01142,0.14704
4498,0.158375,0.011305,0.14707
4498.5,0.15829,0.01119,0.1471
4499,0.15907,0.01073,0.14834
4499.5,0.1632,0.0101,0.1531
4500,0.16844,0.0095,0.15893
4500.5,0.17585,0.00942,0.16643
4501,0.178725,0.009645,0.169075
4501.5,0.1816,0.00987,0.17172
4502,0.18569,0.0108,0.17489
4502.5,0.18864,0.01191,0.17673
4503,0.19038,0.0124,0.17798
4503.5,0.18999,0.01232,0.17767
4504,0.188595,0.012305,0.176285
4504.5,0.1872,0.01229,0.1749
4505,0.18348,0.01238,0.17111
4505.5,0.17976,0.0122,0.16756
4506,0.17882,0.0113,0.16752
4506.5,0.17895,0.01045,0.1685
4507,0.178215,0.010395,0.16782
4507.5,0.17748,0.01034,0.16714
4508,0.17646,0.0107,0.16576
4508.5,0.17732,0.01101,0.16631
4509,0.18206,0.01079,0.17127
4509.5,0.18743,0.01039,0.17704
4510,0.189725,0.010235,0.17949
4510.5,0.19202,0.01008,0.18194
4511,0.19492,0.01013,0.18479
4511.5,0.19639,0.01016,0.18623
4512,0.19822,0.00989,0.18833
4512.5,0.19815,0.00996,0.18819
4513,0.197325,0.0102,0.18712
4513.5,0.1965,0.01044,0.18605
4514,0.19577,0.01052,0.18524
4514.5,0.19728,0.00974,0.18754
4515,0.20327,0.00869,0.19458
4515.5,0.21028,0.00814,0.20215
4516,0.21289,0.008205,0.20469
4516.5,0.2155,0.00827,0.20723
4517,0.2148,0.00884,0.20596
4517.5,0.20765,0.00917,0.19848
4518,0.20075,0.00942,0.19133
4518.5,0.1973,0.00974,0.18757
4519,0.198935,0.009805,0.189135
4519.5,0.20057,0.00987,0.1907
4520,0.21295,0.01032,0.20263
4520.5,0.22516,0.01447,0.21069
4521,0.22771,0.0248,0.20292
4521.5,0.23012,0.0381,0.19202
4522,0.23453,0.04611,0.188415
4522.5,0.23894,0.05412,0.18481
4523,0.24979,0.07089,0.1789
4523.5,0.26749,0.08869,0.17881
4524,0.28267,0.10691,0.17576
4524.5,0.28615,0.12003,0.16612
4525,0.285515,0.12505,0.160465
4525.5,0.28488,0.13007,0.15481
4526,0.28179,0.14151,0.14028
4526.5,0.27988,0.14931,0.13057
4527,0.28104,0.15243,0.12861
4527.5,0.28385,0.15335,0.1305
4528,0.283395,0.15194,0.13145
4528.5,0.28294,0.15053,0.1324
4529,0.27993,0.15238,0.12754
4529.5,0.28071,0.1664,0.11431
4530,0.28916,0.18069,0.10848
4530.5,0.30385,0.19208,0.11177
4531,0.30946,0.195105,0.114355
4531.5,0.31507,0.19813,0.11694
4532,0.31659,0.19111,0.12548
4532.5,0.31108,0.17076,0.14032
4533,0.3073,0.14419,0.16311
4533.5,0.30687,0.12216,0.18471
4534,0.30714,0.114435,0.192705
4534.5,0.30741,0.10671,0.2007
4535,0.30072,0.09072,0.21
4535.5,0.28435,0.07942,0.20493
4536,0.26721,0.07388,0.19333
4536.5,0.24937,0.07028,0.17909
4537,0.23861,0.06957,0.16904
4537.5,0.22785,0.06886,0.15899
4538,0.20483,0.06897,0.13585
4538.5,0.19158,0.06721,0.12437
4539,0.18723,0.05819,0.12904
4539.5,0.18892,0.04715,0.14178
4540,0.18919,0.04587,0.143328
4540.5,0.18946,0.04459,0.144875
4541,0.19,0.04203,0.14797
4541.5,0.18393,0.04329,0.14064
4542,0.17269,0.04349,0.12919
4542.5,0.17404,0.03407,0.13997
4543,0.17671,0.031165,0.145545
4543.5,0.17938,0.02826,0.15112
4544,0.18771,0.02422,0.16349
4544.5,0.197,0.02883,0.16816
4545,0.20973,0.03606,0.17366
4545.5,0.22477,0.04253,0.18223
4546,0.230845,0.04539,0.18545
4546.5,0.23692,0.04825,0.18867
4547,0.24677,0.04795,0.19882
4547.5,0.25288,0.04696,0.20592
4548,0.25495,0.04522,0.20973
4548.5,0.25438,0.03895,0.21543
4549,0.255245,0.03778,0.21747
4549.5,0.25611,0.03661,0.21951
4550,0.26922,0.04294,0.22627
4550.5,0.29211,0.0547,0.23742
4551,0.31093,0.06552,0.24541
4551.5,0.31752,0.07236,0.24516
4552,0.31787,0.07477,0.2431
4552.5,0.31822,0.07718,0.24104
4553,0.31322,0.07618,0.23704
4553.5,0.30443,0.06869,0.23574
4554,0.30186,0.06208,0.23979
4554.5,0.29734,0.0628,0.23454
4555,0.2922,0.0652,0.227
4555.5,0.28706,0.0676,0.21946
4556,0.26974,0.07657,0.19317
4556.5,0.27079,0.08274,0.18805
4557,0.28362,0.09484,0.18877
4557.5,0.29171,0.103725,0.18798
4558,0.2998,0.11261,0.18719
4558.5,0.31462,0.14219,0.17243
4559,0.32323,0.17856,0.14467
4559.5,0.32546,0.20344,0.12202
4560,0.32873,0.21328,0.11545
4560.5,0.33141,0.217535,0.113875
4561,0.33409,0.22179,0.1123
4561.5,0.33584,0.22707,0.10877
4562,0.33461,0.22223,0.11238
4562.5,0.33069,0.22204,0.10865
4563,0.32701,0.23379,0.09323
4563.5,0.327725,0.237575,0.090155
4564,0.32844,0.24136,0.08708
4564.5,0.33053,0.24522,0.08531
4565,0.33347,0.24969,0.08378
4565.5,0.34102,0.25199,0.08903
4566,0.34825,0.25465,0.0936
4566.5,0.35294,0.2537,0.099235
4567,0.35763,0.25275,0.10487
4567.5,0.37168,0.24393,0.12775
4568,0.37969,0.2377,0.14199
4568.5,0.38066,0.23347,0.14719
4569,0.37827,0.22715,0.15113
4569.5,0.37266,0.21859,0.15407
4570,0.36705,0.21003,0.15701
4570.5,0.35052,0.18328,0.16724
4571,0.33881,0.16308,0.17573
4571.5,0.33488,0.14514,0.18975
4572,0.33383,0.12956,0.20427
4572.5,0.33446,0.126195,0.20826
4573,0.33509,0.12283,0.21225
4573.5,0.34042,0.11943,0.22099
4574,0.34318,0.11154,0.23164
4574.5,0.33992,0.0996,0.24032
4575,0.3303,0.08472,0.24558
4575.5,0.32293,0.07702,0.24591
4576,0.31556,0.06932,0.24624
4576.5,0.30522,0.05596,0.24926
4577,0.30099,0.04876,0.25224
4577.5,0.30149,0.04546,0.25602
4578,0.29993,0.03922,0.26071
4578.5,0.297185,0.03723,0.259955
4579,0.29444,0.03524,0.2592
4579.5,0.29602,0.03218,0.26385
4580,0.30658,0.02934,0.27724
4580.5,0.31363,0.0322,0.28142
4581,0.32044,0.04025,0.28019
4581.5,0.321515,0.039515,0.282
4582,0.32259,0.03878,0.28381
4582.5,0.31758,0.03547,0.28211
4583,0.31893,0.04177,0.27717
4583.5,0.32154,0.04523,0.27631
4584,0.32814,0.04952,0.27862
4584.5,0.335145,0.05432,0.280825
4585,0.34215,0.05912,0.28303
4585.5,0.34624,0.05876,0.28748
4586,0.3506,0.05568,0.29492
4586.5,0.35391,0.05251,0.30139
4587,0.3517,0.04543,0.30627
4587.5,0.35373,0.0423,0.311435
4588,0.35576,0.03917,0.3166
4588.5,0.35857,0.03178,0.3268
4589,0.35208,0.02459,0.32749
4589.5,0.34452,0.02375,0.32077
4590,0.33747,0.03023,0.30724
4590.5,0.336145,0.03431,0.301835
4591,0.33482,0.03839,0.29643
4591.5,0.3362,0.04389,0.29231
4592,0.33138,0.04305,0.28833
4592.5,0.31972,0.03503,0.28469
4593,0.31107,0.02745,0.28362
4593.5,0.30742,0.028205,0.279215
4594,0.30377,0.02896,0.27481
4594.5,0.2935,0.04645,0.24705
4595,0.28424,0.07198,0.21226
4595.5,0.2871,0.10314,0.18396
4596,0.30312,0.1421,0.16101
4596.5,0.312405,0.16263,0.14977
4597,0.32169,0.18316,0.13853
4597.5,0.33761,0.21928,0.11832
4598,0.34507,0.24581,0.09927
4598.5,0.34999,0.26822,0.08177
4599,0.36137,0.29167,0.0697
4599.5,0.366805,0.29715,0.069655
4600,0.37449,0.30206,0.07243
4600.5,0.37334,0.30065,0.07269
4601,0.37284,0.29834,0.07449
4601.5,0.37293,0.29426,0.07866
4602,0.371125,0.29302,0.0781
4602.5,0.36932,0.29178,0.07754
4603,0.36594,0.29101,0.07494
4603.5,0.36159,0.29183,0.06976
4604,0.35705,0.28913,0.06792
4604.5,0.35439,0.28274,0.07164
4605,0.35212,0.27998,0.072135
4605.5,0.34985,0.27722,0.07263
4606,0.34258,0.26724,0.07534
4606.5,0.33457,0.25373,0.08085
4607,0.33082,0.24696,0.08386
