DEPTH,CMRP_3ms,CMFF,BVI,Kair,Cpor
4481.95,0.314889,0.092209,0.22268,14.231,0.3791624
4484.98,0.2925604,0.029032,0.2635284,1.546,0.2715295
4488.06,0.1971492,0.0112526,0.1858966,0.039,0.1429203
4490.99,0.1619336,0.0108326,0.151101,0.054,0.1061784
4494.01,0.1531554,0.0114848,0.1416706,0.048,0.1658766
4497.05,0.15873,0.01142,0.14731,0.031,0.1457528
4499.96,0.1680208,0.009548,0.1584636,0.027,0.1094124
4502.97,0.1902756,0.0123706,0.177905,0.053,0.2375043
4506.07,0.1788382,0.011181,0.1676572,0.07,0.1845733
4508.98,0.1818704,0.0107988,0.1710716,0.039,0.2326834
4511.97,0.1981102,0.0099062,0.188204,0.043,0.1515102
4515.05,0.203971,0.008635,0.195337,0.049,0.1459313
4518.02,0.200612,0.0094328,0.1911796,0.047,0.1521483
4521.02,0.2278064,0.025332,0.202484,0.738,0.1811914
4524.03,0.2828788,0.1076972,0.1751816,25.77,0.2330989
4527.02,0.2811524,0.1524668,0.1286856,63.731,0.2504048
4529.94,0.288146,0.1789752,0.1091796,181.041,0.2447165
4533,0.3073,0.14419,0.16311,48.36,0.2527143
4536.04,0.2657828,0.073592,0.1921908,6.772,0.2425811
4538.96,0.187578,0.0589116,0.1286664,0.856,0.2430092
4541.95,0.173814,0.04347,0.130335,1.044,0.1484534
4545.04,0.2109332,0.0365776,0.1743456,0.87,0.1600346
4548,0.25495,0.04522,0.20973,2.447,0.1897204
4550.96,0.3094244,0.0646544,0.2447708,9.006,0.2981185
4553.94,0.3021684,0.0628732,0.239304,5.581,0.2413939
4557.04,0.2842672,0.0955508,0.1887068,20.727,0.2138325
4560.04,0.3289444,0.2136204,0.115324,202.751,0.2600638
4563.03,0.3270529,0.2340171,0.0930455,659.394,0.3194247
4566.06,0.3488128,0.254536,0.0942762,828.708,0.3252088
4568.98,0.3783656,0.2274028,0.1509724,197.947,0.4156857
4572.03,0.3338678,0.1293581,0.2045094,115.147,0.2886308
4574.99,0.3304924,0.0850176,0.2454748,27.114,0.3359405
4577.95,0.300086,0.039844,0.260241,7.405,0.2982088
4580.98,0.3201676,0.039928,0.2802392,5.157,0.2696428
4583.99,0.328008,0.0494342,0.2785738,9.086,0.3480016
4586.96,0.3518768,0.0459964,0.3058796,6.088,0.3007145
4590.04,0.337364,0.0305564,0.3068076,5.224,0.3780119
4592.97,0.311589,0.0279048,0.2836842,5.236,0.373357
4596.07,0.3044199,0.1449742,0.1594364,53.909,0.3243793
4599.01,0.3614787,0.2917796,0.0696991,1804.272,0.3157833
4602.02,0.3710528,0.2929704,0.0780776,1849.426,0.430767
4604.98,0.3522108,0.2800904,0.0721152,1639.628,0.3977227
4608.02,0.3338192,0.2467488,0.0870652,954.511,0.3725559
4611.06,0.3439248,0.2792076,0.0647172,2187.863,0.3150743
4613.94,0.376608,0.242266,0.1343364,863.082,0.4390893
4617.01,0.3434642,0.2502471,0.0932122,383.374,0.3860021
4620.05,0.352968,0.2165145,0.1364535,281.906,0.305611
4623.01,0.3555547,0.2717355,0.0838192,655.624,0.3985163
4625.94,0.365156,0.2561212,0.1090348,640.89,0.3603657
4629.07,0.3613404,0.2448859,0.1164545,447.209,0.3181271
4631.98,0.4026136,0.3094632,0.0931504,1314.545,0.3772681
4634.95,0.385846,0.270987,0.1148545,1496.221,0.3476736
4637.98,0.34076,0.1559344,0.1848256,202.893,0.3399812
4641,0.366825,0.116845,0.249975,43.844,0.4047993
4643.97,0.3387479,0.1837139,0.155034,149.182,0.2921867
4647.06,0.3553672,0.1829456,0.172416,439.947,0.3393368
